gift,brand,description,occasion,sport,budget
Premium Sports Jacket,The North Face,Stylish and weather-resistant jacket.,Christmas,Swimming,high
Premium Sports Jacket,The North Face,Stylish and weather-resistant jacket.,Birthday,Swimming,high
Sport Socks,Puma,Comfortable and breathable socks for athletes.,New Year,Swimming,low
Sports Backpack,Under Armour,Spacious and lightweight backpack.,Valentine'S Day,Swimming,mid
Wireless Earbuds,JBL,Perfect for workouts with great sound.,Father'S Day,Yoga,mid
Premium Sports Jacket,The North Face,Stylish and weather-resistant jacket.,Father'S Day,Yoga,high
Pro-Level Shoes,Nike,Top performance shoes for serious players.,Mother'S Day,Yoga,high
Wristband Set,Nike,Sweat-absorbing wristbands for intense play.,Graduation,Yoga,low
Training Kit,Decathlon,Complete set for practice sessions.,Anniversary,Yoga,mid
Pro-Level Shoes,Nike,Top performance shoes for serious players.,Christmas,Yoga,high
Wireless Earbuds,JBL,Perfect for workouts with great sound.,Birthday,Yoga,mid
Premium Sports Jacket,The North Face,Stylish and weather-resistant jacket.,New Year,Yoga,high
Smartwatch,Garmin,Track fitness goals with style and precision.,Valentine'S Day,Yoga,high
